store_id,store_name,store_category,store_scale,locality,avg_monthly_sales_inr,avg_monthly_profit_inr,footfall_per_day,peak_hours,primary_customer_age,has_online_presence,rating,years_in_business,profit_margin_pct
STR0001,Ink Mart,books & stationery,small,Velachery,105897,27829,21,afternoon (2pm-6pm),18-24,False,3.8,7,30.0
STR0002,Glow Store,beauty & wellness,small,T Nagar,32436,12289,36,afternoon (11am-3pm),18-24,False,4.1,8,40.0
STR0003,Apollo Store,pharmacy,mall-anchor,OMR,7101215,1126462,1783,morning (9am-12pm),50+,True,4.5,19,18.0
STR0004,Fashion Shop,fashion,small,Tambaram,65671,23347,55,evening (5pm-9pm),18-24,True,4.0,1,35.0
STR0005,Raja Shop,grocery,small,OMR,101202,7253,39,morning (8am-11am),35-50,False,3.8,1,8.0
STR0006,Fashion Zone,fashion,medium,Tambaram,715370,271466,296,evening (5pm-9pm),18-24,False,4.2,5,35.0
STR0007,Living World,home & furniture,small,Perambur,120540,23657,72,weekend afternoons,35-50,True,4.1,11,22.0
STR0008,Smart Hub,electronics,small,T Nagar,45449,5864,118,afternoon (12pm-4pm),25-34,False,3.8,14,12.0
STR0009,Tech Store,electronics,small,T Nagar,114664,13759,68,afternoon (12pm-4pm),25-34,False,3.0,10,12.0
STR0010,Circuit Shop,electronics,medium,T Nagar,501012,67789,161,afternoon (12pm-4pm),25-34,False,4.4,3,12.0
STR0011,Sri Gallery,grocery,small,Porur,23967,1870,109,morning (8am-11am),35-50,True,4.2,6,8.0
STR0012,Pages Gallery,books & stationery,small,Adyar,122992,40888,98,afternoon (2pm-6pm),18-24,True,3.3,8,30.0
STR0013,Style Shop,fashion,medium,Porur,443901,161441,127,evening (5pm-9pm),18-24,True,3.7,19,35.0
STR0014,Sri Gallery,grocery,small,Velachery,143608,10456,43,morning (8am-11am),35-50,False,4.0,2,8.0
STR0015,Pages Point,books & stationery,medium,Perambur,572736,172086,341,afternoon (2pm-6pm),18-24,False,4.3,11,30.0
STR0016,Wardrobe Centre,fashion,small,T Nagar,21911,8609,25,evening (5pm-9pm),18-24,False,4.4,10,35.0
STR0017,Spice Centre,food & beverage,small,OMR,81130,20529,81,evening (6pm-10pm),18-24,False,3.8,6,25.0
STR0018,Care World,pharmacy,small,Anna Nagar,62154,9895,104,morning (9am-12pm),50+,False,4.2,13,18.0
STR0019,Health Shop,pharmacy,small,Velachery,105552,17774,111,morning (9am-12pm),50+,False,3.8,10,18.0
STR0020,Curry World,food & beverage,mall-anchor,T Nagar,3928136,1000083,2528,evening (6pm-10pm),18-24,True,4.9,2,25.0
STR0021,Power Zone,sports & fitness,medium,Perambur,226222,57018,389,morning (7am-10am),25-34,True,4.3,19,28.0
STR0022,Ethnic Centre,fashion,large,T Nagar,2798939,938127,695,evening (5pm-9pm),18-24,True,4.9,32,35.0
STR0023,Glow World,beauty & wellness,medium,Nungambakkam,379299,134530,186,afternoon (11am-3pm),18-24,True,3.7,18,40.0
STR0024,Style Point,fashion,large,Perambur,2650382,826154,972,evening (5pm-9pm),18-24,True,4.2,8,35.0
STR0025,Curry Zone,food & beverage,small,T Nagar,56122,15624,55,evening (6pm-10pm),18-24,False,4.0,6,25.0
STR0026,Glow World,beauty & wellness,small,Velachery,67546,30825,49,afternoon (11am-3pm),18-24,False,4.1,11,40.0
STR0027,Comfort Centre,home & furniture,small,Tambaram,73350,17012,102,weekend afternoons,35-50,False,3.6,11,22.0
STR0028,Fashion Shop,fashion,mall-anchor,OMR,5021775,1527094,3115,evening (5pm-9pm),18-24,True,4.6,13,35.0
STR0029,Power Hub,sports & fitness,medium,Nungambakkam,698982,217804,359,morning (7am-10am),25-34,False,4.6,20,28.0
STR0030,Aura Point,beauty & wellness,medium,T Nagar,749987,286771,376,afternoon (11am-3pm),18-24,True,3.7,10,40.0
STR0031,Murugan Palace,grocery,mall-anchor,Anna Nagar,8054563,680229,1754,morning (8am-11am),35-50,True,4.4,5,8.0
STR0032,Glow Centre,beauty & wellness,large,Velachery,2986590,1049652,1005,afternoon (11am-3pm),18-24,True,4.9,15,40.0
STR0033,Wisdom Point,books & stationery,small,OMR,126087,35624,62,afternoon (2pm-6pm),18-24,False,3.2,3,30.0
STR0034,Trend Gallery,fashion,small,Porur,78944,26247,20,evening (5pm-9pm),18-24,True,3.0,14,35.0
STR0035,Style Palace,fashion,medium,Tambaram,729842,225332,337,evening (5pm-9pm),18-24,False,4.4,7,35.0
STR0036,Ethnic Shop,fashion,large,Adyar,1622616,615512,416,evening (5pm-9pm),18-24,True,4.0,12,35.0
STR0037,Style Shop,fashion,medium,Perambur,299202,94126,326,evening (5pm-9pm),18-24,True,4.6,24,35.0
STR0038,Spice Gallery,food & beverage,small,Chromepet,45859,11401,55,evening (6pm-10pm),18-24,False,4.2,2,25.0
STR0039,Saravana Palace,grocery,small,Tambaram,143640,11814,99,morning (8am-11am),35-50,False,4.3,4,8.0
STR0040,Spice Palace,food & beverage,small,OMR,31738,7110,92,evening (6pm-10pm),18-24,True,3.5,6,25.0
STR0041,Trend Store,fashion,small,Tambaram,30769,10094,66,evening (5pm-9pm),18-24,True,4.2,13,35.0
STR0042,Active Point,sports & fitness,large,Chromepet,2757568,716129,1083,morning (7am-10am),25-34,True,4.0,17,28.0
STR0043,Gem Centre,jewellery,small,T Nagar,55190,7397,83,weekend evenings,35-50,False,3.9,5,15.0
STR0044,Gem Point,jewellery,small,Tambaram,81867,12053,69,weekend evenings,35-50,True,3.4,13,15.0
STR0045,Dosa Store,food & beverage,medium,Chromepet,614691,143380,231,evening (6pm-10pm),18-24,True,4.1,4,25.0
STR0046,Dosa Palace,food & beverage,small,OMR,141906,40649,77,evening (6pm-10pm),18-24,True,4.3,4,25.0
STR0047,Power Point,electronics,small,Adyar,21102,2562,26,afternoon (12pm-4pm),25-34,False,4.1,6,12.0
STR0048,Power Shop,sports & fitness,medium,Perambur,632063,155748,299,morning (7am-10am),25-34,True,4.4,7,28.0
STR0049,Dosa Hub,food & beverage,large,Porur,1658116,413102,611,evening (6pm-10pm),18-24,True,4.9,31,25.0
STR0050,Tech Point,electronics,small,Adyar,26933,3326,21,afternoon (12pm-4pm),25-34,True,4.4,6,12.0
STR0051,Shine Shop,beauty & wellness,large,Porur,2478639,975059,914,afternoon (11am-3pm),18-24,True,4.3,14,40.0
STR0052,Aura Mart,beauty & wellness,large,Chromepet,1493916,592488,1064,afternoon (11am-3pm),18-24,True,4.6,17,40.0
STR0053,Ethnic Zone,fashion,medium,Chromepet,764557,259529,191,evening (5pm-9pm),18-24,True,4.4,7,35.0
STR0054,Smart Point,electronics,small,Anna Nagar,106644,11770,92,afternoon (12pm-4pm),25-34,False,3.8,14,12.0
STR0055,Sri Shop,grocery,large,OMR,2769099,212767,747,morning (8am-11am),35-50,True,4.5,11,8.0
STR0056,Glow Mart,beauty & wellness,large,Velachery,2871967,1123181,864,afternoon (11am-3pm),18-24,True,4.4,26,40.0
STR0057,Ethnic Shop,fashion,small,Perambur,99604,36041,69,evening (5pm-9pm),18-24,False,4.2,2,35.0
