post_id,platform,content_format,content_genre,caption,locality,age_group,post_date,views,likes,shares,comments,trending
CHN00001,twitter,tweet,entertainment,Best Tamil film of the year without any question 🌟,OMR,25-34,2023-12-12,8422,273,492,217,False
CHN00002,youtube,video,education,This tutorial was completely wrong and wasted my time,Tambaram,13-17,2023-03-30,195407,19022,5695,5724,True
CHN00003,youtube,video,education,Online courses are getting too expensive for what they offer,Tambaram,35-50,2024-01-18,111078,14466,2892,1073,False
CHN00004,tiktok,stitch,education,This course completely changed how I think about data,Nungambakkam,25-34,2024-05-26,75543,2486,3193,712,False
CHN00005,youtube,live,entertainment,Best Tamil film of the year without any question 🌟,Anna Nagar,25-34,2023-04-08,9308,757,413,60,False
CHN00006,youtube,video,travel,Planning a solo trip next month — any suggestions?,Porur,35-50,2023-07-03,45425,4461,1762,1058,False
CHN00007,youtube,video,fitness,Morning run along the Marina Beach — feeling incredible! 🏃,Porur,18-24,2023-08-12,157542,17601,3446,2364,False
CHN00008,twitter,tweet,travel,Flight was delayed 4 hours and hotel overbooked. Disaster.,Perambur,13-17,2024-08-09,7290,891,417,191,False
CHN00009,youtube,live,fitness,Morning run along the Marina Beach — feeling incredible! 🏃,Velachery,13-17,2024-11-06,52745,2166,1796,1170,False
CHN00010,twitter,reply,travel,Flight was delayed 4 hours and hotel overbooked. Disaster.,Anna Nagar,50+,2023-03-28,946,89,32,24,False
CHN00011,tiktok,video,fashion,Neutral look today — just keeping it simple and clean,Chromepet,35-50,2023-11-17,26053,2573,1560,620,False
CHN00012,youtube,live,fashion,"Trying out a new aesthetic this week, let me know thoughts",Anna Nagar,18-24,2023-03-07,177837,11982,8718,2123,True
CHN00013,tiktok,video,entertainment,So disappointed by the ending — ruined the whole series,Chromepet,35-50,2023-07-19,86514,11161,2435,506,False
CHN00014,youtube,live,technology,AI tools are changing everything about how I work 🚀,Tambaram,18-24,2023-09-11,56337,7227,2815,1260,False
CHN00015,youtube,short,education,Currently studying for my upcoming exam — wish me luck,Chromepet,25-34,2024-12-29,103665,8351,4859,1137,False
CHN00016,twitter,tweet,finance,Crypto market is a complete disaster right now. Stressed.,T Nagar,18-24,2024-03-18,2262,291,61,49,False
CHN00017,youtube,short,travel,Flight was delayed 4 hours and hotel overbooked. Disaster.,Velachery,35-50,2023-10-19,79797,3651,4261,2320,False
CHN00018,youtube,video,fashion,This look is absolutely stunning — turning heads everywhere,T Nagar,13-17,2023-10-31,155470,17596,7940,937,False
CHN00019,youtube,video,travel,Planning a solo trip next month — any suggestions?,Anna Nagar,25-34,2023-06-28,158795,11868,5657,2433,False
CHN00020,instagram,post,education,Education system needs serious reform — very concerning,Perambur,50+,2024-01-22,22973,3084,885,132,False
CHN00021,twitter,tweet,fitness,Fitness influencers selling unrealistic body standards. Stop.,OMR,35-50,2024-01-17,9973,777,586,255,False
CHN00022,youtube,live,fashion,"Trying out a new aesthetic this week, let me know thoughts",Nungambakkam,13-17,2024-11-04,136327,13787,5999,1468,False
CHN00023,twitter,thread,finance,Financial freedom is possible with the right discipline,Adyar,18-24,2024-12-07,8529,434,299,127,False
CHN00024,instagram,post,entertainment,Best Tamil film of the year without any question 🌟,Adyar,18-24,2024-06-23,14556,1122,841,121,False
CHN00025,youtube,live,fitness,Injured again because of bad form advice online. Frustrated.,Velachery,13-17,2024-09-10,93949,13284,4114,1634,False
CHN00026,twitter,reply,technology,Another overpriced gadget that breaks in 3 months. Tired.,Adyar,35-50,2023-11-23,326,15,14,1,False
CHN00027,youtube,video,entertainment,Best Tamil film of the year without any question 🌟,Porur,25-34,2023-01-07,18069,1406,1014,303,False
CHN00028,tiktok,duet,food,Overpriced and underwhelming — will not be returning,Anna Nagar,13-17,2023-05-08,10283,561,554,277,False
CHN00029,tiktok,video,food,Best filter coffee in Chennai — no debate needed ☕,Nungambakkam,13-17,2023-01-07,1645,142,84,27,False
CHN00030,instagram,carousel,travel,Ooty in monsoon season is breathtakingly beautiful ☁️,Velachery,35-50,2023-12-22,4993,207,110,26,False
CHN00031,instagram,carousel,fitness,Fitness influencers selling unrealistic body standards. Stop.,T Nagar,18-24,2023-01-28,18209,2390,441,301,False
CHN00032,youtube,video,travel,Tourist traps everywhere — completely ruined the trip,Adyar,13-17,2024-07-13,168860,9650,4932,2744,False
CHN00033,instagram,post,travel,Tourist traps everywhere — completely ruined the trip,Anna Nagar,50+,2024-07-20,39920,2637,1049,990,False
CHN00034,instagram,post,entertainment,Total waste of time — worst screenplay I have seen,OMR,35-50,2024-10-28,28310,3663,700,151,False
CHN00035,tiktok,stitch,entertainment,Best Tamil film of the year without any question 🌟,OMR,18-24,2024-07-28,63551,5467,1717,1811,False
CHN00036,tiktok,stitch,entertainment,Laughed so hard at this show — highly recommend binging,Chromepet,50+,2023-11-19,52813,7326,1232,1221,False
CHN00037,tiktok,video,finance,Lost money following random stock tips online. Lesson learnt.,OMR,35-50,2023-06-08,36063,2880,905,866,False
CHN00038,instagram,carousel,finance,Comparing different investment options this week,Perambur,50+,2023-02-26,2676,199,79,63,False
CHN00039,instagram,story,fashion,This collection is disappointing compared to last season,Porur,18-24,2024-01-24,12751,1397,600,334,False
CHN00040,youtube,video,fitness,Injured again because of bad form advice online. Frustrated.,Tambaram,13-17,2024-05-06,104591,7013,3567,832,False
CHN00041,instagram,reel,education,Online courses are getting too expensive for what they offer,Tambaram,18-24,2024-10-20,27490,3146,787,524,False
CHN00042,instagram,carousel,finance,Banks keep adding hidden charges — absolutely infuriating,Velachery,25-34,2023-02-07,25569,1399,1278,341,False
CHN00043,instagram,reel,education,This tutorial was completely wrong and wasted my time,Anna Nagar,35-50,2023-03-11,6020,699,280,107,False
CHN00044,instagram,post,fashion,Not sure about this trend honestly — feels overdone,Adyar,18-24,2024-02-03,27874,1058,1182,191,False
CHN00045,youtube,live,fitness,Gym was packed and equipment broken — worst experience,Tambaram,25-34,2023-05-26,94405,4995,4222,988,False
CHN00046,twitter,thread,technology,Review of this device after 30 days of usage,OMR,50+,2023-02-23,2927,261,155,48,False
CHN00047,youtube,video,fashion,"Trying out a new aesthetic this week, let me know thoughts",Adyar,35-50,2023-05-28,33101,3097,1961,302,False
CHN00048,tiktok,video,food,The service was terrible and food arrived cold. Avoid.,OMR,25-34,2023-10-08,68231,3203,2629,657,False
CHN00049,youtube,live,food,Overpriced and underwhelming — will not be returning,Anna Nagar,18-24,2023-11-12,53265,6396,866,1295,False
CHN00050,tiktok,stitch,fashion,This collection is disappointing compared to last season,Porur,25-34,2024-03-05,52493,4679,1312,1044,False
CHN00051,instagram,carousel,finance,Monthly budget review — transparent breakdown coming up,T Nagar,25-34,2023-12-08,13769,1407,782,176,False
CHN00052,youtube,video,food,Really disappointed with the new menu changes here,T Nagar,18-24,2023-11-12,135794,19810,4040,3151,False
CHN00053,instagram,carousel,travel,This hidden beach near Chennai is a total paradise!,Chromepet,18-24,2024-07-05,38083,2420,1013,821,False
CHN00054,youtube,video,fitness,Hit a new personal best today — months of hard work paid off!,T Nagar,35-50,2024-07-03,110863,14592,2906,2429,False
CHN00055,tiktok,video,food,Best filter coffee in Chennai — no debate needed ☕,Tambaram,13-17,2023-06-25,86549,11044,4865,1429,False
CHN00056,youtube,live,fitness,This workout routine completely transformed my energy levels,Anna Nagar,18-24,2023-12-29,47121,4230,2095,532,False
CHN00057,instagram,reel,travel,Planning a solo trip next month — any suggestions?,OMR,25-34,2024-06-28,47214,3095,810,414,False
CHN00058,youtube,short,technology,Unboxing the new laptop today — first impressions coming,Tambaram,35-50,2024-03-13,72042,4272,2874,1053,False
CHN00059,youtube,live,technology,Review of this device after 30 days of usage,Perambur,18-24,2023-07-11,45306,2841,2110,648,False
CHN00060,youtube,live,food,The service was terrible and food arrived cold. Avoid.,Tambaram,18-24,2023-10-20,57344,8003,2213,545,False
CHN00061,youtube,live,food,This biryani from Murugan Idli Shop is absolutely divine! 😍,Anna Nagar,18-24,2024-07-02,21863,1627,1039,599,False
CHN00062,instagram,post,finance,Financial freedom is possible with the right discipline,Tambaram,35-50,2024-04-20,43754,2878,2134,648,False
CHN00063,tiktok,video,technology,Privacy concerns with this app are genuinely worrying,Adyar,25-34,2023-01-24,58769,7870,616,1436,False
CHN00064,youtube,short,technology,Tech companies keep promising and underdelivering. Annoyed.,OMR,18-24,2024-01-27,33769,3052,1682,793,False
CHN00065,instagram,carousel,food,Tried the new place in T Nagar — completely worth the hype!,OMR,25-34,2024-02-18,45921,6396,473,785,False
CHN00066,youtube,live,technology,This new phone camera is absolutely incredible 📱,Tambaram,18-24,2024-03-25,26739,2520,1094,588,False
CHN00067,instagram,story,entertainment,So disappointed by the ending — ruined the whole series,Nungambakkam,18-24,2023-03-12,9827,809,421,156,False
CHN00068,instagram,post,fashion,This look is absolutely stunning — turning heads everywhere,Adyar,18-24,2024-01-28,13804,1320,251,91,False
CHN00069,tiktok,video,entertainment,Total waste of time — worst screenplay I have seen,T Nagar,18-24,2024-03-26,87322,5810,5164,1839,False
CHN00070,youtube,video,fashion,Why does fast fashion keep failing us? So frustrating,OMR,35-50,2023-07-05,81691,4680,1495,1087,False
CHN00071,twitter,reply,fashion,Obsessed with this new outfit drop! Love the vibes ✨,T Nagar,18-24,2024-08-08,2875,106,67,21,False
CHN00072,instagram,carousel,education,Education system needs serious reform — very concerning,Porur,35-50,2023-08-05,8561,1093,264,109,False
CHN00073,instagram,reel,technology,This new phone camera is absolutely incredible 📱,OMR,35-50,2024-06-01,49284,3277,2023,618,False
